x,avg_uptime,avg_downtime
0.6,0.008149634040629294,265.2516702313093
0.65,0.019498983848672657,6.322391878021177
0.7000000000000001,0.030715105143443756,0.48481085093306936
0.7500000000000001,0.06051104199280849,0.11834267410420833
0.79,0.12117885146344384,0.06983036042968505
0.8,0.15063238682433452,0.06447683666532027
0.81,0.1805051091993441,0.06205844293391138
0.8200000000000001,0.22316875781644796,0.060355770624483135
0.8300000000000001,0.2832212069189062,0.05724665419921647
0.8400000000000001,0.3295582295514833,0.055760007648162
0.8500000000000001,0.427078658829693,0.05469665640814896
0.8600000000000001,0.5238660132519364,0.049724254400486306
0.87,0.6521540506984487,0.05002943639388345
0.92,1.8472618316713365,0.0350094713161321
